"","x"
"1",-0.0687268402076169
"2",-0.0774729959653297
"3",-0.0778304318344281
"4",-0.0772350794482714
"5",-0.0802496854809722
"6",-0.0814114164281711
"7",-0.0769421607015155
"8",-0.080609884507014
"9",-0.0849231475656965
"10",-0.0870660330556884
"11",-0.0912437467606232
"12",-0.0993453418301089
"13",-0.102814609841703
"14",-0.104492400512673
"15",-0.110728749601996
"16",-0.118797971938583
"17",-0.124232062180098
"18",-0.129741307269952
"19",-0.130261905815637
"20",-0.128512231427987
"21",-0.136596765158444
"22",-0.138780373468539
"23",-0.132090309373177
"24",-0.135697415763914
"25",-0.134734567011294
"26",-0.124657718589198
"27",-0.132377924248727
"28",-0.134288472703436
"29",-0.123773529589115
"30",-0.123316393215506
"31",-0.126376377043572
"32",-0.13064982708256
"33",-0.131591439268287
"34",-0.129361938898048
"35",-0.127334316458997
"36",-0.126655531391996
"37",-0.125097635801362
"38",-0.122090036978138
"39",-0.118223386797014
"40",-0.114297882214952
"41",-0.108133998010792
"42",-0.100952664918122
"43",-0.0991506842637432
"44",-0.0997651466752375
"45",-0.0984455709747234
"46",-0.101031685120237
"47",-0.102439522111321
"48",-0.104541297228457
"49",-0.105410998662945
"50",-0.106258575017869
"51",-0.104934034768269
"52",-0.106430045835071
"53",-0.106206794601329
"54",-0.103793913125596
"55",-0.0983278927172856
"56",-0.100669569969052
"57",-0.10429464825048
"58",-0.104736745858064
"59",-0.101999170008159
"60",-0.107891126486934
"61",-0.108062235102674
"62",-0.104641630461036
"63",-0.103627887018887
"64",-0.106866717573137
"65",-0.0956532016368922
"66",-0.095677883154978
"67",-0.0967456476731154
"68",-0.0970709519618342
"69",-0.0887815237755182
"70",-0.0777130388055551
"71",-0.037371459369351
"72",0.00618914215258065
"73",0.00777964006775628
"74",0.010745822216723
"75",0.0111356023821454
"76",0.0220616990202545
"77",0.0222711462370159
"78",0.0074667693123443
"79",0.0150452532049298
"80",0.016913533394124
"81",0.0163618301276802
"82",0.0172328928321165
"83",0.017809574319455
"84",0.0185042008230579
"85",0.0201891973709323
"86",0.0188882906689247
"87",0.0180337548573074
"88",0.0163901861829746
"89",0.0155236703474328
"90",0.0146571545118909
"91",0.0140392047409138
"92",0.0115938887436976
"93",0.00499179347212579
"94",0.0114719353184348
"95",0.0142136056144174
"96",0.015566177245668
"97",0.0182151911462383
"98",0.0194850341411956
"99",0.0204781246395597
"100",0.0172339876043735
"101",0.0159262077530936
"102",0.0140149844920274
"103",0.00933579114133816
"104",0.0134523814701722
"105",0.0152012508274611
"106",0.0287066614827595
"107",0.0322367654731668
"108",0.0189325159332257
"109",0.0255595493645264
"110",0.0227880458246838
"111",0.00968891469615926
"112",0.0151576916330031
"113",0.0162653011631655
"114",0.016970570363366
"115",0.0156438339616175
"116",0.0139466245227111
"117",0.00701633583041008
"118",0.0163498309860841
"119",0.0156813792676949
"120",0.0106968805265677
"121",0.0217723589814607
"122",0.0233365972865592
