Abies;Acer campestre-type;Alnus;Apiaceae;Armeria-type;Artemisia;Asteraceae;Betula;Brassicaceae;Buxus;Campanulaceae;Carpinus;Caryophyllaceae (periporate excl. Paronychioideae);Centaurea;Chenopodiaceae/Amaranthaceae;Callina vulgaris;Corylus;Cyperaceae;Euhedra distachya-type;Ericaceae;Euphorbiaceae;Fagus;Filipendula;Fraxinus;Hedera;Helianthemum;Hippophae rhamnoides;Ilex;Juniperus;Picea;Pinus;Plantaginaceae;Poaceae;Polygonum;Populus;Quercus;Ranunculus acris-type;Rosaceae;Rubiaceae;Rumex;Salix;Saxifragaceae;Taxus;Thalictrum;Tilia;Trifolium-type;Ulmus;Varia
0,003;0;0,077;0;0;0;0;0,367;0,003;0;0;0,003;0;0;0;0;0,019;0;0;0;0;0,006;0;0,008;0;0;0,003;0;0;0,279;0,126;0,011;0,036;0;0;0,019;0,003;0,006;0;0;0,006;0;0;0;0;0;0,003;0,011
0,005;0;0,045;0;0;0;0;0,285;0,003;0;0;0;0;0;0,003;0;0,011;0,003;0;0,005;0;0,005;0;0,016;0;0;0;0;0;0,457;0,081;0,008;0,029;0;0;0,011;0;0,003;0,005;0;0,013;0;0;0;0;0;0,003;0,008
0,003;0,003;0,05;0,003;0;0,003;0;0,146;0;0;0;0;0;0;0;0;0,053;0,012;0;0,075;0;0,106;0;0,009;0;0;0,012;0;0;0,15;0,15;0,009;0,125;0;0;0,056;0,009;0,003;0,006;0,006;0,003;0;0;0;0;0;0;0,003
0;0;0,054;0,003;0;0;0;0,048;0;0;0;0;0;0;0;0;0,017;0,017;0;0,238;0;0,177;0;0,003;0;0;0;0;0;0,058;0,117;0,003;0,19;0;0;0,044;0,013;0,01;0;0;0,003;0;0;0,003;0;0,01;0;0,013
0,003;0;0,058;0,007;0;0;0;0,089;0,003;0;0;0,014;0;0;0;0;0,048;0,049;0;0,157;0;0,154;0;0,007;0;0;0;0;0;0,048;0,06;0,01;0,198;0;0;0,089;0,003;0,034;0;0;0;0;0;0;0;0;0,003;0
0;0;0,06;0,006;0;0;0;0,092;0;0;0;0;0,003;0;0;0;0,044;0,048;0;0,238;0;0,139;0;0,006;0;0;0;0;0;0,043;0,111;0,025;0,117;0,006;0;0,063;0,006;0,01;0,006;0;0,003;0;0;0;0,003;0;0,006;0
0;0;0,101;0;0;0,003;0;0,17;0;0;0;0,021;0;0;0,003;0;0,092;0,018;0;0,063;0;0,173;0;0;0;0;0,009;0;0;0,063;0,088;0,033;0,086;0;0;0,054;0,003;0,009;0;0;0,009;0;0;0;0;0,003;0;0,003
0;0;0,103;0;0;0,003;0;0,116;0,003;0;0,003;0,007;0;0;0;0;0,089;0,067;0;0,089;0;0,243;0;0,01;0;0;0;0;0;0,039;0,07;0,014;0,072;0;0;0,092;0;0;0,003;0;0,003;0;0;0;0,003;0;0,003;0
0;0;0,088;0,008;0;0,003;0;0,218;0;0;0;0,014;0;0;0;0;0,085;0,022;0;0,051;0;0,161;0;0;0;0,003;0,003;0;0;0,045;0,051;0,023;0,088;0;0;0,119;0;0,003;0;0;0;0;0;0;0;0;0;0
0;0;0,074;0,004;0;0,004;0;0,126;0,004;0;0,004;0,011;0,004;0;0,004;0;0,088;0,065;0;0,032;0;0,175;0;0,007;0;0;0,004;0;0,004;0,079;0,119;0,011;0,074;0,004;0;0,137;0;0,007;0;0;0;0;0;0;0;0,004;0;0
