Level;Family;Genus;Species;ProxyName
2;Pinaceae;Abies;NA;Abies
2;Betulaceae;Alnus;NA;Alnus
2;Betulaceae;Betula;NA;Betula
2;Betulaceae;Carpinus;NA;Carpinus
2;Betulaceae;Corylus;NA;Corylus
2;Fagaceae;Fagus;NA;Fagus
2;Oleaceae;Fraxinus;NA;Fraxinus
2;Cupressaceae;Juniperus;NA;Juniperus
2;Pinaceae;Picea;NA;Picea
2;Pinaceae;Pinus;NA;Pinus
2;Fagaceae;Quercus;NA;Quercus
2;Salicaceae;Salix;NA;Salix
2;Malvaceae;Tilia;NA;Tilia
2;Ulmaceae;Ulmus;NA;Ulmus
2;Asteraceae;Artemisia;NA;Artemisia
1;Amaranthaceae;NA;NA;Amaranthaceae
1;Poaceae;NA;NA;Poaceae
;;;;
;;;;
;;;;
;;;;
;;;;
